2025-06-12 14:56:03,276 - INFO - System Monitor: Starting system minitoring...
2025-06-12 14:56:03,281 - INFO - CPU: Usage: 8.3%
2025-06-12 14:56:03,281 - INFO - Memory: Usage: 65.8%
2025-06-12 14:56:03,394 - INFO - System Info: Hostname: MSI
2025-06-12 14:56:03,648 - INFO - Software: PID: 3764, Name: svchost.exe, Username: None
2025-06-12 14:56:03,649 - INFO - Software: PID: 3856, Name: powershell.exe, Username: MSI\minhq
2025-06-12 14:56:03,653 - INFO - Software: PID: 3936, Name: svchost.exe, Username: None
2025-06-12 14:56:03,657 - INFO - Software: PID: 3972, Name: svchost.exe, Username: None
2025-06-12 14:56:03,661 - INFO - Software: PID: 4100, Name: svchost.exe, Username: None
2025-06-12 14:56:03,665 - INFO - Software: PID: 4176, Name: svchost.exe, Username: None
2025-06-12 14:56:03,669 - INFO - Software: PID: 4272, Name: csrss.exe, Username: None
2025-06-12 14:56:03,674 - INFO - Software: PID: 4368, Name: svchost.exe, Username: None
2025-06-12 14:56:03,678 - INFO - Software: PID: 4396, Name: wlanext.exe, Username: None
2025-06-12 14:56:03,682 - INFO - Software: PID: 4524, Name: svchost.exe, Username: None
2025-06-12 14:56:03,686 - INFO - Software: PID: 4536, Name: svchost.exe, Username: None
2025-06-12 14:56:03,690 - INFO - Software: PID: 4544, Name: svchost.exe, Username: None
2025-06-12 14:56:03,694 - INFO - Software: PID: 4552, Name: MSIAPService.exe, Username: None
2025-06-12 14:56:03,698 - INFO - Software: PID: 4560, Name: svchost.exe, Username: None
2025-06-12 14:56:03,708 - INFO - Software: PID: 4568, Name: NahimicService.exe, Username: None
2025-06-12 14:56:03,712 - INFO - Software: PID: 4576, Name: svchost.exe, Username: None
2025-06-12 14:56:03,716 - INFO - Software: PID: 4584, Name: svchost.exe, Username: None
2025-06-12 14:56:03,720 - INFO - Software: PID: 4596, Name: svchost.exe, Username: None
2025-06-12 14:56:03,723 - INFO - Software: PID: 4620, Name: MSIService.exe, Username: None
2025-06-12 14:56:03,727 - INFO - Software: PID: 4628, Name: Sendevsvc.exe, Username: None
2025-06-12 14:56:03,731 - INFO - Software: PID: 4636, Name: FoxitPDFReaderUpdateService.exe, Username: None
2025-06-12 14:56:03,735 - INFO - Software: PID: 4644, Name: MSI_Central_Service.exe, Username: None
2025-06-12 14:56:03,739 - INFO - Software: PID: 4664, Name: sqlwriter.exe, Username: None
2025-06-12 14:56:03,744 - INFO - Software: PID: 4676, Name: svchost.exe, Username: None
2025-06-12 14:56:03,748 - INFO - Software: PID: 4688, Name: svchost.exe, Username: None
2025-06-12 14:56:03,752 - INFO - Software: PID: 4712, Name: MpDefenderCoreService.exe, Username: None
2025-06-12 14:56:03,752 - INFO - Software: PID: 4724, Name: Zalo.exe, Username: MSI\minhq
2025-06-12 14:56:03,757 - INFO - Software: PID: 4748, Name: UltraViewer_Service.exe, Username: None
2025-06-12 14:56:03,761 - INFO - Software: PID: 4760, Name: RtkAudUService64.exe, Username: None
2025-06-12 14:56:03,765 - INFO - Software: PID: 4852, Name: MsMpEng.exe, Username: None
2025-06-12 14:56:03,765 - INFO - Software: PID: 4912, Name: brave.exe, Username: MSI\minhq
2025-06-12 14:56:03,770 - INFO - Software: PID: 4916, Name: svchost.exe, Username: None
2025-06-12 14:56:03,773 - INFO - Software: PID: 4924, Name: svchost.exe, Username: None
2025-06-12 14:56:03,777 - INFO - Software: PID: 4944, Name: wslservice.exe, Username: None
2025-06-12 14:56:03,781 - INFO - Software: PID: 4952, Name: svchost.exe, Username: None
2025-06-12 14:56:03,785 - INFO - Software: PID: 5408, Name: dasHost.exe, Username: None
2025-06-12 14:56:03,786 - INFO - Software: PID: 5420, Name: SearchHost.exe, Username: MSI\minhq
2025-06-12 14:56:03,786 - INFO - Software: PID: 5600, Name: Code.exe, Username: MSI\minhq
2025-06-12 14:56:03,790 - INFO - Software: PID: 5712, Name: logi_lamparray_service.exe, Username: None
2025-06-12 14:56:03,795 - INFO - Software: PID: 5888, Name: svchost.exe, Username: None
2025-06-12 14:56:03,795 - INFO - Software: PID: 5996, Name: TextInputHost.exe, Username: MSI\minhq
2025-06-12 14:56:03,796 - INFO - Software: PID: 6004, Name: RuntimeBroker.exe, Username: MSI\minhq
2025-06-12 14:56:03,800 - INFO - Software: PID: 6008, Name: NgcIso.exe, Username: None
2025-06-12 14:56:03,800 - INFO - Software: PID: 6036, Name: Code.exe, Username: MSI\minhq
2025-06-12 14:56:03,804 - INFO - Software: PID: 6132, Name: svchost.exe, Username: None
2025-06-12 14:56:03,808 - INFO - Software: PID: 6284, Name: svchost.exe, Username: None
